content_id,director_id
1,256
3,4964
6,3622
7,1318
7,2135
8,4963
9,4213
10,4786
12,799
13,2840
14,4272
17,4628
17,2248
19,4142
21,1703
23,2484
24,4896
24,402
25,2558
27,4642
28,2114
29,4359
30,4824
31,685
31,1632
31,3301
36,632
37,362
39,4961
42,3556
43,1764
44,3174
45,4072
46,872
47,4831
48,4338
49,2822
52,251
53,251
54,251
55,251
57,2278
58,4266
59,2278
60,4266
61,2278
62,4981
63,1189
64,129
65,4622
69,2443
69,4599
69,4067
72,552
74,4210
76,3305
78,2649
79,682
80,682
81,4260
82,2194
85,3010
85,479
87,3251
89,4118
91,1887
92,902
92,651
94,1965
95,1040
97,4220
102,4227
102,4986
103,1735
104,4185
106,4254
108,2578
111,4858
111,176
113,1707
114,4597
115,617
116,4410
117,4022
118,4667
119,904
120,2281
123,4410
127,2429
128,1395
129,430
130,2404
131,416
132,3897
134,2167
135,3822
136,456
137,3354
138,4267
139,2404
140,2495
141,2715
142,669
143,343
144,3039
145,4494
146,559
146,2358
147,2456
149,3946
150,3921
151,4944
152,3307
152,4123
153,4176
156,4018
157,997
158,2043
159,2315
160,1085
162,4282
163,4494
164,434
165,1666
167,718
168,1686
168,4757
169,3095
169,1717
170,103
171,3736
172,1220
173,2784
174,1274
175,2822
176,2361
177,3759
178,1351
179,4668
179,2659
180,4776
181,4114
183,1149
184,103
186,4227
186,4986
189,3846
189,4649
191,4233
192,4530
193,283
196,1757
197,3594
199,4210
200,1798
201,338
202,1409
202,1979
203,934
204,3457
205,283
206,1981
207,4084
208,2044
209,1
210,1
211,1350
212,3196
215,1563
216,2044
217,521
217,4339
218,1
222,841
223,1458
224,4769
224,2410
228,4155
229,3638
230,1004
231,623
232,2913
234,346
236,2912
237,4849
238,4849
239,4849
240,4849
241,3291
245,1265
247,4943
248,1750
250,1375
251,4904
252,2789
253,4082
254,2385
256,663
257,1320
258,2385
259,2900
260,2639
262,4272
263,2284
265,2793
268,4410
269,3451
271,1183
274,4969
277,4470
279,4476
280,4729
282,1947
283,512
284,475
285,1874
286,202
288,3529
291,3402
293,154
294,4276
295,2534
296,2708
298,4543
298,4581
298,3007
298,2891
298,4732
298,1821
298,4849
298,1094
298,4747
299,4623
300,1915
301,3046
301,2770
302,1595
303,3480
303,3544
304,3523
305,3672
306,1313
307,853
308,4552
309,900
311,304
315,4340
316,1182
317,769
318,4159
319,1192
319,4726
326,778
327,2166
328,3508
329,4799
330,3556
331,1806
331,378
333,456
334,2257
335,4448
336,1667
338,968
340,3588
340,4739
341,3595
342,4869
343,549
344,3405
345,3405
346,2189
347,4178
348,3838
349,275
350,2897
351,2391
352,3206
353,877
354,3698
355,2586
356,3218
357,2399
358,1458
359,4283
360,2495
361,4026
363,1493
364,1577
366,2432
368,3574
372,2432
373,2794
374,1428
375,639
376,3282
378,3852
379,3194
381,2907
384,3128
385,4429
388,3915
389,4246
389,1788
390,4395
393,4207
394,3775
395,2783
396,695
397,4139
399,1023
403,1022
406,3740
407,355
408,355
409,355
410,355
411,355
412,355
413,355
414,355
415,355
416,355
417,355
418,328
419,172
419,4261
420,355
421,355
422,355
422,327
423,355
424,355
425,355
427,671
427,3626
428,788
429,3306
430,3242
433,1456
433,1450
433,1500
434,4855
437,1119
438,2880
439,2356
440,4647
440,303
440,3949
440,3683
440,2375
442,4048
444,2317
445,2903
446,2244
447,3069
448,689
449,689
450,1870
451,3054
452,222
453,2260
455,4676
456,2109
458,1384
459,3309
461,3967
461,4913
462,3406
463,3919
464,3013
464,1861
465,1907
468,1633
469,984
470,3044
472,4983
472,4457
474,262
475,301
476,603
477,4828
480,4048
481,3601
482,2130
485,52
486,2725
487,2172
487,4129
490,1497
492,3423
493,1664
495,322
496,4706
497,1955
499,3239
501,1133
502,3242
503,3520
504,585
506,636
506,4166
507,3858
508,2973
509,1005
519,358
529,2313
529,2107
530,4546
532,1635
532,1927
532,959
535,4811
542,223
543,4347
551,4048
552,3748
553,1317
555,3695
556,4758
557,4514
558,2926
558,2494
559,1510
560,103
561,2672
562,179
563,179
564,179
565,4869
567,3327
568,1935
569,549
570,993
571,4725
573,1645
574,66
574,320
575,527
576,3721
577,1940
578,2769
579,3589
580,1425
581,2644
582,4451
583,4026
584,2389
585,1352
586,736
587,3417
588,56
588,4480
588,407
588,2645
588,2095
590,4466
592,1154
593,3816
594,2940
595,2730
596,2353
597,400
598,3684
599,3866
600,1603
601,2626
602,2806
603,2806
604,2806
605,2864
606,896
607,111
608,961
609,4916
610,672
611,4929
612,1772
612,381
613,1452
614,2266
615,105
616,1394
617,59
619,852
620,3199
622,2599
623,1809
624,196
625,4698
627,3970
630,2851
631,4235
633,1439
634,1051
635,613
636,3837
637,2274
638,3724
638,1611
638,1632
644,4562
645,637
646,4070
647,534
650,636
651,1013
652,1574
653,1574
655,2525
656,2525
657,2525
665,4419
667,3314
671,3861
671,2350
672,3861
672,2350
673,3861
677,4648
682,4915
684,1738
686,1418
688,4732
689,4623
690,3861
690,2350
691,2794
693,769
694,470
695,4709
696,4709
699,2094
702,445
703,2379
705,1207
706,2893
708,1722
709,1377
712,798
713,356
717,1851
719,800
722,2237
723,3824
724,3489
725,2779
727,2412
727,910
728,4216
728,2283
729,3208
736,363
737,2809
738,33
740,2738
741,4815
742,2961
743,3177
743,3215
744,747
746,4669
747,747
748,1493
751,660
753,3594
755,4538
757,2651
758,1217
759,2688
760,2640
761,2640
763,2351
765,3021
766,3120
767,3456
769,4678
770,4409
770,490
771,4337
772,3272
774,128
775,4701
776,2752
777,1422
778,3030
778,1938
780,388
782,3645
783,88
784,4454
785,962
787,3966
788,3356
789,1230
791,4654
792,70
793,2716
794,3725
795,1101
797,4269
798,368
799,4127
800,2391
801,1762
802,924
803,442
804,3781
805,4868
807,1501
808,1501
809,3966
810,2827
811,896
812,1025
813,4407
815,2881
816,909
817,4206
818,2842
819,4835
820,2391
822,4108
823,1002
824,3334
825,4922
827,455
828,1515
829,1279
830,3801
832,4098
832,3260
833,627
835,1202
837,3987
839,3815
840,4709
841,2507
842,1884
845,3959
846,1556
847,4800
851,929
854,4790
857,79
859,4146
860,3854
861,3499
862,2649
864,498
865,1
866,4144
867,1698
867,4491
868,1476
871,879
872,89
873,247
874,2862
876,4735
878,3657
879,3363
880,1800
882,45
883,2619
886,4940
887,2963
888,2685
890,3983
892,3496
893,2127
894,3756
895,4291
896,3254
898,3434
899,2661
900,2476
902,1311
904,245
905,4914
906,791
907,3472
908,4517
910,3744
911,4501
912,3865
914,4976
915,4694
916,4670
917,3181
918,3352
918,4595
920,4974
923,4861
925,2993
927,1142
929,4232
930,1565
931,2827
932,546
933,882
934,2404
935,2683
936,3222
936,1517
936,1475
938,3426
939,3426
940,3426
941,3426
942,3426
943,2391
944,1448
945,2318
946,431
947,776
948,1960
949,1866
950,310
951,4659
952,1243
953,441
954,4001
955,3605
955,3729
956,542
957,3003
959,1320
960,448
961,4966
962,4923
962,4684
963,3062
965,1841
965,3868
967,2423
970,2025
971,1626
972,1580
974,3917
975,4992
977,4489
978,1329
979,2807
980,1465
980,3933
981,1465
982,2972
983,4990
984,1130
985,1345
986,4273
987,4273
988,178
989,440
990,4710
991,2807
992,3579
993,147
993,1055
995,4623
996,3472
996,2972
997,2362
1000,1509
1001,3850
1002,3719
1003,743
1007,3426
1008,3426
1009,3426
1010,1340
1010,2978
1014,4392
1016,1945
1017,1487
1018,2574
1019,4374
1020,2047
1021,1284
1022,4754
1022,2309
1023,121
1024,3984
1024,2008
1024,3774
1024,4807
1025,3253
1027,2293
1028,4126
1030,3980
1031,4735
1032,480
1034,1810
1035,2487
1035,2872
1036,3419
1037,2118
1037,3393
1038,224
1040,1036
1042,619
1042,3413
1043,618
1047,2369
1051,3123
1053,4869
1054,23
1055,3756
1056,3048
1067,974
1068,1020
1070,1371
1071,34
1072,3426
1073,3426
1074,3426
1075,3426
1076,3778
1076,4431
1076,2144
1076,4388
1076,3531
1076,3211
1076,4025
1077,3426
1078,3426
1079,3426
1081,2036
1084,4621
1086,2291
1087,2320
1088,358
1089,3928
1090,2201
1090,4234
1091,2968
1097,840
1098,724
1099,4946
1100,4271
1101,4578
1102,582
1103,4090
1104,2308
1105,1874
1106,2334
1107,1321
1107,2526
1108,17
1109,4443
1110,1897
1110,201
1111,2306
1112,3938
1113,408
1114,776
1115,3634
1116,4149
1118,1659
1119,234
1120,2734
1121,24
1122,4824
1123,1380
1125,1828
1127,3382
1129,748
1131,1501
1132,1501
1133,1501
1134,3966
1135,2411
1135,3790
1136,2262
1137,1017
1137,185
1138,3283
1139,3663
1140,306
1141,975
1142,4543
1143,1780
1145,2753
1146,4902
1147,238
1148,3164
1151,3518
1152,933
1154,36
1155,53
1156,232
1157,3103
1160,2870
1161,4346
1163,198
1165,4503
1166,1876
1168,783
1171,917
1172,1044
1173,311
1174,2874
1176,111
1177,237
1178,1160
1179,1744
1184,1816
1185,631
1186,1818
1188,90
1189,4500
1190,3207
1191,3753
1192,184
1192,96
1193,2833
1194,3756
1195,4924
1196,4802
1197,2407
1198,3767
1199,2485
1200,2803
1203,1331
1204,3556
1205,1600
1208,2500
1209,2103
1210,1332
1212,1958
1213,92
1215,4525
1216,2110
1217,447
1219,3070
1220,2709
1221,4558
1222,1227
1223,482
1223,3910
1224,4707
1224,483
1229,2188
1231,4104
1233,1102
1234,4623
1235,1011
1237,4964
1238,1288
1240,1832
1241,2404
1242,4449
1243,2878
1243,193
1244,4035
1245,2542
1247,2786
1248,1501
1249,3492
1250,609
1250,2660
1251,829
1252,4502
1253,1120
1254,464
1254,2096
1255,322
1256,1501
1257,197
1259,2016
1259,3488
1260,3888
1261,2382
1262,4327
1264,1049
1265,864
1266,265
1267,4327
1268,4914
1270,2338
1274,1709
1277,4175
1279,3207
1280,1429
1281,297
1281,3968
1282,3962
1284,234
1285,234
1287,218
1289,3054
1290,3646
1291,95
1292,1540
1293,1105
1294,1096
1294,2710
1294,2461
1294,3975
1296,2924
1298,3288
1304,4216
1305,3305
1306,120
1308,58
1310,1558
1312,4756
1313,3086
1316,4462
1317,1421
1319,2339
1320,3204
1323,2173
1324,4187
1325,1282
1326,4691
1327,2947
1328,1282
1329,2412
1330,2684
1331,3090
1334,2827
1335,966
1337,4653
1338,3629
1341,4788
1342,11
1343,1535
1344,344
1345,3059
1346,4479
1347,3904
1348,1297
1352,2988
1354,2114
1358,4972
1359,3678
1360,3638
1361,101
1365,2887
1367,1117
1368,995
1369,2781
1370,1146
1371,4348
1373,3700
1375,1680
1377,4529
1379,131
1380,2235
1382,4329
1383,4016
1387,4172
1388,2635
1389,3289
1390,409
1391,1435
1392,2220
1394,395
1397,579
1398,1793
1399,723
1400,3300
1400,2128
1404,720
1406,3410
1407,3222
1407,3167
1408,4504
1410,3913
1411,4860
1412,1357
1413,1802
1414,1017
1415,3945
1415,1853
1416,4444
1417,3065
1418,2206
1419,922
1420,664
1421,3988
1422,1191
1422,1399
1423,1001
1424,3738
1425,2553
1427,1001
1429,4442
1433,3924
1434,1826
1435,3454
1435,81
1436,2285
1437,334
1437,859
1439,2726
1442,1719
1445,1154
1446,3878
1447,1544
1448,2204
1451,3572
1452,563
1453,891
1454,3107
1455,77
1457,2982
1459,4912
1460,2551
1462,2479
1464,693
1465,4119
1465,2669
1468,897
1469,4321
1470,2404
1471,4926
1473,504
1475,3563
1476,4906
1480,3404
1482,2607
1485,361
1485,2678
1486,2501
1487,2990
1487,3554
1489,4723
1491,2670
1492,3714
1494,1957
1495,498
1496,3326
1497,4436
1498,387
1499,4450
1499,437
1500,509
1501,3718
1502,1243
1503,4721
1505,2079
1505,940
1508,278
1510,1307
1511,1045
1512,2068
1513,1891
1514,2024
1516,875
1518,3005
1520,269
1521,3533
1521,3143
1521,4747
1521,4817
1522,269
1523,269
1524,195
1525,1354
1526,1734
1527,2094
1530,2281
1531,3298
1532,1863
1533,3732
1533,622
1534,4009
1535,4063
1537,1768
1538,3841
1541,4404
1542,3764
1542,4658
1543,4798
1545,2040
1550,4664
1551,199
1557,4168
1558,525
1559,3565
1559,452
1561,4666
1562,3249
1564,3105
1565,4208
1566,3985
1567,4735
1568,4063
1569,4063
1572,2005
1576,3689
1577,272
1581,503
1581,2298
1581,554
1582,1025
1583,53
1585,3767
1587,3421
1588,4953
1588,1440
1588,1573
1589,2322
1592,516
1592,4632
1593,1125
1596,2626
1598,273
1599,3312
1600,4221
1601,3682
1602,4112
1603,1334
1605,3567
1607,2299
1609,3327
1610,1715
1611,1810
1613,2887
