id,director_name
1,Milan Luthria
2,Guy Ritchie
3,Johnson Esthappan
4,Jon YonKondy
5,Hannah Fidell
6,Zeke Norton
7,Nathan Greno
8,Dan Forrer
9,Sanjay Patel
10,Bob Rose
11,Sam Levinson
12,Pierre Deschamps
13,Anuranjan Premji
14,Lorene Machado
15,Philip Marlatt
16,Ashish R. Shukla
17,BB Sasore
18,Jennifer Phang
19,Hayden Schlossberg
20,Michał Tylka
21,Mike Gabriel
22,Radhu Karmakar
23,One9
24,Takeshi Nozue
25,Tony Stone
26,Matt Kugelman
27,TJ Sullivan
28,Anthony Giordano
29,David Morris
30,Lawrence Cheng
31,Peter Foott
32,Pawan Kumar
33,Jay Oliva
34,Fredrick Munk
35,Buz Wallick
36,Justin Chadwick
37,Norm Hiscock
38,Shin-yeon Won
39,Storm Saulter
40,Mark Ritchie
41,Richard E. Norman
42,Charlie McDowell
43,Chris Bolan
44,Eric Schlosser
45,Donovan Marsh
46,Sadeq Behbehani
47,Ousmane Ly
48,Raj Kumar Gupta
49,Ananda Krishnan
50,Sean Foley
51,Brian Volk-Weiss
52,Kim Joo-hyung
53,John Hillcoat
54,Víctor García
55,Sanjiv Jaiswal
56,Sidharta Tata
57,Christopher Smith
58,Dallas Jenkins
59,Mary Harron
60,Kyle Patrick Alvarez
61,Gene Quintano
62,Munjal Shroff
63,Rene Liu
64,Nawapol Thamrongrattanarit
65,John L. Spencer
66,John Stevenson
67,Ding Sheng
68,Tamara Jenkins
69,Suman Ghosh
70,Ric Roman Waugh
71,Chang-Min Lee
72,Jaime Rayo
73,Steve McLean
74,Tolga Karaçelik
75,Salmeen AlMurry Amer
76,Puneet Sira
77,Jeff Stilson
78,Nguyen Thanh Tung
79,Uduak-Obong Patrick
80,Toyin Abraham
81,Éric Warin
82,Peter Hewitt
83,Almudena Carracedo
84,Takashi Doscher
85,Bobcat Goldthwait
86,Dharmesh Darshan
87,Syed Atif Ali
88,Lance Young
89,Kaashvie Nair
90,Anna Elizabeth James
91,Stephen Murray
92,Can Ulkay
93,Houssam El-Din Mustafa
94,Kurt Wimmer
95,J Blakeson
96,Jay Lavender
97,Abbas Alibhai Burmawalla
98,Zackary Canepari
99,Erik Nelson
100,Galley Molina
101,Richard Arellano
102,Spike Jonze
103,Wolfgang Petersen
104,Rana Ranbir
105,Vincent Ward
106,Pablo Giorgelli
107,Jennifer Lynch
108,Nabil Ayouch
109,Rian Johnson
110,Eleonore Pourriat
111,Stephen Frears
112,Elvira Lind
113,Gerard Barrett
114,Fred M. Wilcox
115,Dustin McKenzie
116,Parveen Kumar
117,Michael Damian
118,Adam Carolla
119,Raymond Wood
120,Vikram Bhatt
121,Aamir Khan
122,Kitty Green
123,Kim Jee-woon
124,Sonia Kennebeck
125,David McCracken
126,John Carchietta
127,Adisorn Tresirikasem
128,Rae Red
129,Tensai Okamura
130,Sam Taplin
131,Glendyn Ivin
132,Antonio Campos
133,Joe Swanberg
134,Max Joseph
135,Everardo Gout
136,Bruce MacDonald
137,Pradip Kurbah
138,Roman Polanski
139,Madhur Bhandarkar
140,Jun-seong Kim
141,Mark Craig
142,Mohsin Ali
143,Partha Chakraborty
144,Rick Benattar
145,Thiagarajan Kumararaja
146,Katherine Fairfax Wright
147,MIKIKO
148,Manish Jha
149,Mario Mattei
150,L. Frazier
151,Francisco Schultz
152,Alicky Sussman
153,Adam Del Giudice
154,Dustin Hoffman
155,Philip Barantini
156,Katherine Brooks
157,Steven R. Monroe
158,Alejandro Lozano
159,Chandra Prakash Dwivedi
160,Matthew Robinson
161,Richard Claus
162,Will Lowell
163,Sinan Akkuş
164,Shweta Basu Prasad
165,Navinder Pal Singh
166,Rebecca Addelman
167,Kevin Lima
168,Diego Enrique Osorno
169,Stanisław Różewicz
170,Aatmaram Dharne
171,Laïla Marrakchi
172,Arpan Sarkar
173,Neil Armfield
174,Kathryn Bigelow
175,David Leveaux
176,Javier Gómez Santander
177,Olivia Newman
178,Rindala Kodeih
179,Jay Roach
180,Ram
181,Hoyt Yeatman
182,Florian Gallenberger
183,Gianfranco Rosi
184,Manny Rodriguez
185,Pandu Adjisurya
186,Hajime Sasaki
187,Jeannie Gaffigan
188,Raj N. Sippy
189,Gary Cohen
190,Ben Young
191,Chris Blake
192,Aubrey Powell
193,Tyler Measom
194,Mike McCoy
195,Juan Camilo Pinzon
196,Jose Javier Reyes
197,Liam Lynch
198,Eylem Kaftan
199,Shaun Paul Piccinino
200,Steve Barker
201,Aram van de Rest
202,Jonathan Teplitzky
203,Kevin Layne
204,Robert McCullough Jr.
205,Paul Soriano
206,Tosin Coker
207,Shawn Crahan
208,Dan Kuenster
209,Amin Dora
210,Steve Sacks
211,Ossama Abu El Atta
212,Douglas McGrath
213,Joanna Lombardi
214,Dawn Porter
215,Wash Westmoreland
216,Michael Arias
217,Maya Zinshtein
218,Huang Hsin-Yao
219,Li Jun
220,V Vignarajan
221,Chen Hung-yi
222,Catherine Hardwicke
223,Pramod Pawar
224,Taranveer Singh
225,Lars Büchel
226,Adam Schlesinger
227,Ben Steele
228,Sam Loh
229,Kunihiko Yuyama
230,Jedd Wider
231,Navaniat Singh
232,Nadine Ibrahim
233,Dan Forgione
234,James Wan
235,Kuntz Agus
236,Billy Lyons
237,Takuma Sato
238,Adrián García Bogliano
239,Brandon Oldenburg
240,Rob Zombie
241,Phillip Youmans
242,Steven Bognar
243,Sergei Bodrov
244,Guy Vasilovich
245,Martin Prakkat
246,Marc Forster
247,J.D. Dillard
248,Chris Sivertson
249,Pablo Aulita
250,Girish Joshi
251,Toshiya Shinohara
252,Fredric Lean
253,Santosh Manjrekar
254,Alex Parkinson
255,Andres Clariond
256,Kirsten Johnson
257,Aleksey German
258,Reem Kherici
259,Dito Montiel
260,Thomas Sorriaux
261,Haruka Fujita
262,Viridiana Lieberman
263,Susannah Ward
264,Catrin Einhorn
265,Ribhu Dasgupta
266,Kevin Ko
267,Hannes Stöhr
268,Mahmudul Islam
269,Yasmin Ahmad
270,Jack C. Newell
271,Matt Shakman
272,Kirk Wise
273,Amanda Raymond
274,Michael D. Black
275,Zara Hayes
276,Kubilay Sarikaya
277,Eliane Brum
278,Jay Grace
279,Joyce Bernal
280,Fred Olen Ray
281,André Øvredal
282,Daniela Goggi
283,Sachin Yardi
284,Brendan Byrne
285,Gina Prince-Bythewood
286,Vijay S. Bhanushali
287,Shane Acker
288,Ertanto Robby Soediskam
289,Larry Elikann
290,Lô Politi
291,Morgan Pehme
292,Venugopan
293,Ildiko Enyedi
294,Jim Monaco
295,Venky Kudumula
296,Adam Alleca
297,David Tryhorn
298,Mitch Gould
299,Brett Whitcomb
300,Steven Knight
301,Nima Nourizadeh
302,Cassia Dian
303,Jetarin Ratanaserikiat
304,Billy Corben
305,Jevons Au
306,Nelson McCormick
307,Simon Baker
308,Jakob Schuh
309,Katia Lund
310,Chris Gorak
311,Kagiso Lediga
312,Parthiban
313,Elsa Nakamichi
314,Lucas Margutti
315,Christopher Guest
316,Rodrigo Eba
317,Harvey Lilley
318,Laura Mañá
319,Morgan Spurlock
320,Mark Osborne
321,Noah Moskin
322,Barry Levinson
323,Rhiannon Bannenberg
324,Susan Johnson
325,Padraic McKinley
326,Paul Brizzi
327,Owll Mina
328,Binayak Das
329,Scott Mosier
330,Jeff Chan
331,Michael Kennedy
332,Joe Lynch
333,Hiroshi Aoyama
334,Alejandro Ruax
335,Kyle Rankin
336,Robert Krantz
337,Kimo Stamboel
338,Santram Varma
339,Irek Dobrowolski
340,Charles A. Nichols
341,Kitaro Kosaka
342,David Galán Galindo
343,Richard LaGravenese
344,Michèle Ohayon
345,Lynn Novick
346,Mark Lo
347,Martin Hodara
348,Yorgos Lanthimos
349,Emcy Joseph
350,Hakan Yonat
351,Einar Gabbassov
352,Ashish R. Mohan
353,Almunsif Alsuwaisi
354,Dava Whisenant
355,Rajiv Chilaka
356,Michael Lockshin
357,Oren Uziel
358,Hardik Mehta
359,Tianyu Zhao
360,Merawi Gerima
361,Arnon Manor
362,Cédric Jimenez
363,Prabhakaran
364,Kirk Wolfinger
365,Ahmed Nader Galal
366,Barry Gonzalez
367,Sneha Taurani
368,Jessie Nelson
369,John Herzfeld
370,Rudradeep Bhattacharjee
371,Law Wing-cheong
372,Christopher Caldwell
373,Vivek Agnihotri
374,Terry Hughes
375,Armando Iannucci
376,Victor Dal Chele
377,Matt Palmer
378,Christopher Miller
379,Woo Min-ho
380,Sophie Robinson
381,Björn Stein
382,Alejandra Márquez Abella
383,Vinod Kapri
384,Park Joon-hwa
385,Owen Trevor
386,Gavin Fitzgerald
387,Cathy Garcia-Molina
388,Roger Christian
389,Ellen Brown
390,Sharon Grimberg
391,David Oelhoffen
392,Jeff Margolis
393,Akira Saitoh
394,Alberto Rodríguez
395,Cooper Karl
396,Umer Adil
397,Nishanth Ravindaran
398,Tony Bancroft
399,Aziz Mirza
400,Lynn Shelton
401,Marlene Melchior
402,Stanley Moore
403,Ian MacNaughton
404,Gabriel Grieco
405,Jacob Kornbluth
406,Ivan Silvestrini
407,Dian Sastrowardoyo
408,Alex Zamm
409,Nicol Paone
410,Arne Birkenstock
411,Scott McAboy
412,Teddy Chan
413,Parkpoom Wongpoom
414,Amandha Wyanto
415,Ron Underwood
416,Scott Pleydell-Pearce
417,Louis C.K.
418,Rita Coburn Whack
419,Nam Ron
420,Brian Helgeland
421,Sergio Pablos
422,Carlo Padial
423,Nila Madhab Panda
424,Andrew Bergman
425,Lenin Bharathi
426,Colin Dench
427,Marc Meyers
