id,genre_name
1,British TV Shows
2,Music & Musicals
3,TV Dramas
4,Romantic TV Shows
5,TV Sci-Fi & Fantasy
6,Anime Features
7,Science & Nature TV
8,TV Horror
9,Korean TV Shows
10,Thrillers
11,TV Shows
12,Dramas
13,Documentaries
14,TV Action & Adventure
15,International Movies
16,Kids' TV
17,Stand-Up Comedy & Talk Shows
18,Independent Movies
19,Sci-Fi & Fantasy
20,Teen TV Shows
21,Children & Family Movies
22,International TV Shows
23,Horror Movies
24,LGBTQ Movies
25,TV Mysteries
26,Romantic Movies
27,Stand-Up Comedy
28,Action & Adventure
29,Classic Movies
30,Sports Movies
31,TV Comedies
32,Comedies
33,Movies
34,Reality TV
35,TV Thrillers
36,Spanish-Language TV Shows
37,Classic & Cult TV
38,Faith & Spirituality
39,Crime TV Shows
40,Cult Movies
41,Anime Series
42,Docuseries
