content_id,time_in_minutes
1,90
7,91
8,125
10,104
13,127
14,91
17,67
19,94
23,161
24,61
25,166
27,147
28,103
29,97
30,106
31,111
36,110
37,105
39,96
42,124
43,116
44,98
45,91
46,23
47,115
49,122
52,99
53,99
54,88
55,100
57,102
58,93
59,96
60,95
61,85
62,97
63,95
64,83
65,103
69,113
72,13
74,182
76,106
78,48
79,145
80,145
81,93
82,106
85,147
87,87
89,96
91,95
92,92
94,91
95,90
97,97
102,80
104,117
106,128
108,90
113,119
114,110
115,143
116,119
117,114
118,94
119,106
120,99
123,118
127,115
128,95
129,115
130,108
131,63
132,117
134,121
135,142
136,113
137,154
138,95
139,108
140,120
141,100
142,82
143,124
144,114
145,104
146,94
147,94
150,93
151,97
152,109
153,88
156,101
157,105
158,102
159,101
160,103
162,106
163,118
164,86
165,121
167,229
168,76
169,95
170,98
171,89
172,120
173,110
174,83
175,121
176,105
177,94
178,156
179,112
180,95
181,107
183,114
184,129
186,86
189,97
191,125
192,107
193,127
196,128
197,92
200,135
201,124
202,136
203,165
204,124
205,136
206,150
207,112
208,119
209,133
210,142
211,93
212,113
215,124
216,116
217,106
218,145
222,93
228,95
229,108
230,90
231,86
232,92
234,82
236,70
237,122
238,122
239,122
240,122
241,84
245,96
247,115
248,110
250,88
251,102
252,91
253,105
254,135
256,86
257,140
258,133
259,92
260,82
262,97
263,78
265,94
268,121
269,97
271,110
279,64
280,59
282,101
283,127
284,90
285,114
286,108
291,70
293,98
294,86
295,139
296,111
299,115
300,102
301,100
302,135
303,69
304,95
305,97
306,124
307,118
308,115
309,115
315,104
316,106
318,102
319,97
326,87
327,88
328,114
329,90
330,142
331,90
333,105
334,103
335,116
336,113
338,99
340,96
341,148
342,189
343,97
344,102
345,99
346,85
347,112
348,91
349,91
350,141
351,130
352,98
353,105
354,101
355,105
356,118
357,97
358,102
359,114
360,111
361,125
363,76
364,118
366,103
368,114
372,95
373,138
374,112
375,94
376,102
378,92
379,81
384,143
385,86
388,132
390,117
393,165
394,91
395,97
396,97
397,123
399,94
403,111
405,85
406,65
407,64
408,68
409,67
410,66
411,64
412,64
413,65
414,64
415,68
416,68
417,64
418,62
419,63
420,69
421,70
422,63
423,68
424,74
425,68
427,99
428,90
429,87
430,105
433,106
434,102
437,91
438,88
439,107
440,101
442,114
444,123
446,94
447,105
448,117
449,115
450,124
451,131
452,122
453,113
455,91
456,100
458,93
459,90
461,86
462,100
463,96
464,95
465,115
468,100
469,102
470,87
471,39
472,110
474,93
475,96
476,93
477,93
480,111
481,105
482,101
484,102
485,46
486,89
487,94
490,104
492,97
493,91
495,106
496,38
497,90
499,87
501,138
502,105
503,104
506,85
507,92
508,108
509,95
519,105
529,116
530,124
532,101
535,95
542,128
543,143
551,107
552,136
553,94
555,136
556,126
557,116
558,100
559,115
560,125
561,39
562,94
563,90
564,95
565,155
567,98
568,108
569,96
570,117
571,118
573,103
574,94
575,93
576,115
577,120
579,145
580,126
581,96
582,101
583,118
584,109
585,89
586,106
587,101
590,101
592,123
593,106
594,89
595,128
596,85
597,89
598,108
599,105
600,133
601,129
602,127
603,113
604,112
605,130
606,100
607,103
608,85
609,124
610,103
611,121
612,89
613,92
614,112
615,114
616,116
617,110
619,98
620,98
623,100
624,90
625,92
630,82
631,97
633,90
634,76
635,83
636,101
637,109
642,97
644,87
645,94
646,89
647,88
650,108
651,96
652,84
653,70
655,125
656,119
657,105
671,133
672,140
673,120
684,135
686,111
688,159
689,119
690,139
691,137
694,101
695,13
696,12
699,101
702,96
703,122
705,95
706,89
709,98
712,119
713,138
717,104
718,273
719,101
722,99
723,84
725,82
728,97
729,89
730,36
731,34
733,36
736,113
737,110
739,36
740,102
741,86
742,91
743,117
744,99
746,77
747,97
748,106
751,97
753,104
755,110
756,61
757,98
758,74
760,60
761,60
763,103
765,94
766,112
767,49
769,111
770,58
771,72
774,78
775,101
776,110
777,94
778,70
780,118
782,99
783,103
784,95
785,93
787,101
788,101
789,89
791,109
792,104
793,90
794,109
795,145
797,88
798,132
799,109
800,133
801,85
802,104
803,99
805,93
807,204
808,212
809,98
810,101
811,94
812,25
813,99
815,108
816,106
817,128
818,104
819,127
820,136
822,97
823,88
824,97
825,97
827,88
828,103
829,97
830,88
835,97
837,118
839,70
840,91
841,92
842,120
845,73
846,110
847,94
850,61
851,131
852,131
853,131
854,148
855,29
857,107
859,99
860,92
861,91
862,47
864,88
865,116
866,109
867,92
868,87
871,101
872,140
873,89
874,81
876,116
878,99
879,107
882,107
883,90
886,104
888,100
889,32
890,102
892,105
893,107
894,64
895,99
896,102
899,126
900,119
902,86
904,122
905,95
906,104
907,118
908,85
910,98
911,99
913,35
914,107
915,97
916,112
917,118
918,109
923,109
925,88
927,97
929,97
930,99
931,95
932,91
933,115
934,93
935,109
936,96
938,78
939,87
940,76
941,76
942,71
943,138
944,113
945,94
946,89
947,121
948,127
949,94
950,89
951,136
952,89
953,99
954,93
955,85
956,102
957,101
959,113
960,128
962,114
963,85
965,121
967,95
970,121
971,116
972,91
974,149
975,113
976,33
977,127
978,101
979,102
980,102
981,107
982,123
983,98
984,95
985,101
986,104
987,104
988,103
990,111
991,102
992,15
993,54
995,120
996,106
997,116
999,58
1000,116
1001,126
1002,86
1003,97
1006,76
1007,80
1008,81
1009,84
1010,87
1011,91
1012,76
1014,132
1016,126
1017,101
1018,102
1019,147
1020,224
1021,141
1022,109
1023,162
1024,142
1025,93
1027,60
1028,119
1029,37
1030,96
1031,116
1032,102
1034,123
1035,102
1036,127
1037,88
1038,106
1040,65
1042,96
1047,88
1051,143
1053,137
1054,75
1055,71
1056,103
1067,130
1070,145
1071,84
1072,84
1073,77
1074,86
1075,79
1077,80
1078,81
1079,78
1081,118
1084,102
1086,132
1087,108
1088,133
1089,107
1090,32
1091,78
1093,55
1097,92
1098,86
1099,140
1100,143
1101,88
1102,89
1103,93
1104,97
1105,94
1106,112
1107,100
1108,120
1109,91
1110,98
1111,113
1112,98
1113,91
1114,158
1115,164
1116,133
1118,75
1119,103
1120,90
1121,116
1122,96
1123,121
1125,101
1127,173
1129,89
1131,182
1132,181
1133,185
1134,99
1135,88
1136,107
1137,114
1138,96
1139,149
1140,102
1141,83
1142,98
1143,83
1145,104
1146,111
1148,98
1151,93
1152,73
1154,141
1155,116
1156,21
