content_id,seasons
2,2
3,1
4,1
5,2
6,1
9,9
11,1
12,1
15,1
16,4
18,2
20,1
21,1
22,5
26,2
32,1
33,3
34,1
35,1
38,1
40,3
41,1
48,1
50,2
51,1
56,6
66,6
67,1
68,9
70,1
71,1
73,5
75,2
77,1
83,6
84,1
86,1
88,2
90,4
93,2
96,3
98,2
99,1
100,1
101,2
103,1
105,2
107,5
109,1
110,5
111,1
112,1
121,1
122,1
124,1
125,3
126,1
133,1
148,1
149,1
154,2
155,3
161,4
166,1
182,1
185,1
187,1
188,1
190,2
194,1
195,1
198,1
199,1
213,2
214,3
219,1
220,1
221,4
223,1
224,1
225,1
226,1
227,1
233,3
235,1
242,3
243,1
244,1
246,1
249,1
255,5
261,1
264,2
266,1
267,1
270,2
272,1
273,5
274,1
275,7
276,1
277,2
278,1
281,1
287,2
288,1
289,1
290,1
292,1
297,1
298,1
310,3
311,1
312,2
313,1
314,1
317,1
320,1
321,1
322,1
323,1
324,7
325,3
332,1
337,5
339,6
362,3
365,1
367,3
369,1
370,1
371,2
377,1
380,1
381,7
382,1
383,3
386,3
387,4
389,1
391,10
392,4
398,1
400,1
401,1
402,2
404,2
426,5
431,1
432,1
435,1
436,1
441,3
443,1
445,1
454,2
457,1
460,2
466,1
467,1
473,1
478,4
479,2
483,1
488,1
489,3
491,1
494,1
498,1
500,2
504,2
505,1
510,3
511,2
512,2
513,4
514,3
515,5
516,2
517,2
518,2
520,2
521,2
522,5
523,3
524,3
525,2
526,8
527,7
528,2
531,2
533,3
534,3
536,2
537,3
538,6
539,2
540,2
541,4
544,2
545,5
546,3
547,1
548,1
549,17
550,1
554,2
566,1
572,1
578,1
588,1
589,1
591,3
618,1
621,1
622,1
626,1
627,1
628,1
629,4
632,5
638,1
639,1
640,1
641,1
643,2
648,1
649,2
654,1
658,2
659,1
660,1
661,4
662,4
663,1
664,1
665,2
666,2
667,1
668,6
669,3
670,5
674,1
675,2
676,1
677,4
678,6
679,1
680,1
681,1
682,1
683,1
685,4
687,2
692,1
693,1
697,2
698,1
700,1
701,1
704,3
707,1
708,1
710,3
711,1
714,1
715,1
716,1
720,1
721,2
724,1
726,1
727,1
732,2
734,2
735,2
738,1
745,1
749,1
750,2
752,2
754,1
759,2
762,1
764,1
768,1
772,1
773,2
779,1
781,2
786,3
790,6
796,3
804,1
806,1
814,1
821,3
826,2
831,3
832,2
833,1
834,1
836,1
838,2
843,1
844,3
848,1
849,3
856,3
858,2
863,2
869,1
870,2
875,1
877,1
880,1
881,3
884,2
885,1
887,1
891,4
897,1
898,1
901,1
903,1
909,1
912,2
919,1
920,1
921,2
922,3
924,2
926,2
928,2
937,1
958,1
961,1
964,2
966,1
968,1
969,1
973,1
989,1
994,1
998,1
1004,1
1005,2
1013,2
1015,3
1026,1
1033,1
1039,1
1041,1
1043,1
1044,7
1045,1
1046,1
1048,1
1049,3
1050,1
1052,2
1057,1
1058,1
1059,1
1060,6
1061,1
1062,1
1063,1
1064,1
1065,1
1066,3
1068,1
1069,1
1076,1
1080,1
1082,4
1083,1
1085,1
1092,1
1094,2
1095,1
1096,1
1117,1
1124,2
1126,2
1128,2
1130,2
1144,1
1147,1
1149,2
1150,1
1153,1
1159,4
1164,1
1167,1
1169,1
1170,1
1174,6
1175,1
1180,4
1181,2
1182,1
1183,3
1187,2
1197,1
1201,1
1202,1
1206,1
1207,1
1211,2
1214,3
1218,1
1224,1
1225,1
1226,1
1227,1
1228,1
1230,1
1232,1
1235,1
1236,4
1239,1
1243,1
1246,5
1247,1
1258,1
1269,1
1271,3
1272,1
1273,1
1275,1
1276,1
1278,2
1283,1
1286,1
1294,1
1295,1
1297,1
1299,1
1300,1
1301,1
1302,1
1303,4
1307,3
1309,4
1311,1
1314,1
1315,2
1318,1
1321,1
1322,1
1329,1
1332,1
1333,2
1336,3
1339,2
1340,1
1349,1
1350,1
1351,2
1353,2
1355,13
1356,1
1357,1
1361,1
1362,1
1363,7
1364,2
1366,2
1372,1
1374,1
1376,2
1378,4
1381,1
1384,2
1385,3
1386,1
1393,1
1395,1
1396,4
1401,1
1402,4
1403,3
1405,3
1409,5
1417,1
1420,4
1428,5
1430,1
1431,1
1433,2
1438,1
1440,1
1441,3
1443,1
1444,1
1449,3
1450,2
1456,1
1458,1
1461,2
1463,1
1464,1
1466,2
1474,4
1477,1
1478,1
1479,1
1480,1
1481,9
1483,1
1484,1
1488,1
1490,2
1493,1
1504,1
1506,1
1507,2
1509,1
1515,1
1517,2
1521,1
1528,2
1529,1
1531,1
1533,1
1534,1
1536,1
1539,1
1540,1
1542,1
1544,2
1546,2
1547,2
1548,2
1549,2
1552,2
1553,1
1555,1
1556,2
1560,1
1563,1
1565,1
1570,4
1571,1
1573,2
1574,3
1575,1
1579,1
1580,3
1584,1
1586,1
1587,1
1588,1
1590,1
1591,4
1594,1
1597,3
1604,1
1606,2
1612,2
1615,1
1616,2
1619,4
1620,1
1623,10
1624,1
1626,1
1628,1
1629,1
1635,1
1639,1
1640,7
1641,1
1642,2
1650,2
1655,1
1659,1
1662,1
1668,3
1669,1
1671,1
1673,1
1685,1
1688,4
1689,1
1693,2
1694,1
1697,2
1698,2
1699,4
1702,9
1707,1
1709,1
1712,1
1716,1
1717,1
1718,1
1719,1
1722,1
1723,1
1724,1
1725,1
1727,1
1731,1
1734,1
1738,1
1741,1
1747,2
1749,1
1751,6
1755,1
1756,3
1757,1
1758,1
1759,2
1760,10
1761,1
1766,4
1767,1
1770,2
1772,1
1774,1
1779,2
1780,7
1782,4
1783,3
1791,1
1792,4
1795,1
1800,1
1801,1
1804,1
1805,1
1814,3
1829,2
1835,1
1838,1
1840,1
1841,1
1842,3
1848,4
1849,4
1852,5
1853,2
1855,1
1861,1
1865,3
1869,1
1874,1
1876,1
1878,1
1879,7
1881,1
1886,1
1890,1
1891,1
1894,1
1895,1
1896,3
1907,1
1908,1
1909,2
1911,1
1915,1
1916,1
1918,1
1919,3
1923,5
1924,1
1926,1
1929,3
1930,4
1934,8
1948,1
1949,4
1950,4
1952,1
1953,3
1955,1
1956,1
1959,4
1962,1
1974,1
1979,1
1980,1
1981,7
1984,1
1989,1
1990,3
1991,1
1992,2
1994,2
1995,1
1999,9
2003,2
2007,2
2009,2
2010,8
2013,1
2014,1
2022,5
2023,1
2033,1
2034,1
2038,1
2041,2
2043,1
2045,1
2048,2
2054,1
2055,1
2059,1
2063,2
2064,1
2065,3
2067,1
2069,1
2070,4
2071,1
2074,6
2079,1
2081,2
2086,1
2087,1
2090,3
2094,1
2097,1
2099,1
2100,2
2102,1
2103,1
2106,1
2107,3
2109,1
2113,1
2114,1
2119,2
2123,2
2124,1
2125,5
2126,2
2128,4
2134,1
2135,1
2136,4
2137,1
2141,1
2145,1
2146,2
2149,1
2152,3
2153,3
2154,1
2157,1
2158,1
2159,1
2161,5
2163,3
2166,1
2169,1
2171,1
2174,6
2175,1
2176,1
2179,1
2181,1
2182,2
2185,1
2190,3
2191,2
2193,1
2195,1
2202,5
2204,10
2213,1
2215,1
2218,1
2219,3
2223,1
2224,1
2226,1
2227,1
2228,1
2230,2
2231,1
2236,1
2238,1
2239,2
2242,1
2246,1
2247,1
2250,1
2252,1
2254,1
2255,4
2256,1
2259,1
2276,1
2293,2
2294,6
2298,1
2299,1
2300,1
2302,1
2304,1
2306,1
2307,1
2308,1
2314,1
2319,1
2321,1
2323,1
2328,3
2330,1
2332,1
2338,1
2344,1
2347,2
2350,1
2353,2
2358,1
2360,2
2363,2
2379,2
2384,2
2389,4
2391,6
2395,2
2396,4
2397,1
